gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,Result
female,group B,bachelor's degree,standard,none,72,72,74,Passed
female,group C,some college,standard,completed,69,90,88,Passed
female,group B,master's degree,standard,none,90,95,93,Passed
male,group A,associate's degree,free/reduced,none,47,57,44,Failed
male,group C,some college,standard,none,76,78,75,Passed
female,group B,associate's degree,standard,none,71,83,78,Passed
female,group B,some college,standard,completed,88,95,92,Passed
male,group B,some college,free/reduced,none,40,43,39,Failed
male,group D,high school,free/reduced,completed,64,64,67,Failed
female,group B,high school,free/reduced,none,38,60,50,Failed
male,group C,associate's degree,standard,none,58,54,52,Failed
male,group D,associate's degree,standard,none,40,52,43,Failed
female,group B,high school,standard,none,65,81,73,Passed
male,group A,some college,standard,completed,78,72,70,Passed
female,group A,master's degree,standard,none,50,53,58,Failed
female,group C,some high school,standard,none,69,75,78,Passed
male,group C,high school,standard,none,88,89,86,Passed
female,group B,some high school,free/reduced,none,18,32,28,Failed
male,group C,master's degree,free/reduced,completed,46,42,46,Failed
female,group C,associate's degree,free/reduced,none,54,58,61,Failed
male,group D,high school,standard,none,66,69,63,Failed
female,group B,some college,free/reduced,completed,65,75,70,Passed
male,group D,some college,standard,none,44,54,53,Failed
female,group C,some high school,standard,none,69,73,73,Passed
male,group D,bachelor's degree,free/reduced,completed,74,71,80,Passed
male,group A,master's degree,free/reduced,none,73,74,72,Passed
male,group B,some college,standard,none,69,54,55,Failed
female,group C,bachelor's degree,standard,none,67,69,75,Passed
male,group C,high school,standard,none,70,70,65,Passed
female,group D,master's degree,standard,none,62,70,75,Passed
female,group D,some college,standard,none,69,74,74,Passed
female,group B,some college,standard,none,63,65,61,Failed
female,group E,master's degree,free/reduced,none,56,72,65,Failed
male,group D,some college,standard,none,40,42,38,Failed
male,group E,some college,standard,none,97,87,82,Passed
male,group E,associate's degree,standard,completed,81,81,79,Passed
female,group D,associate's degree,standard,none,74,81,83,Passed
female,group D,some high school,free/reduced,none,50,64,59,Failed
female,group D,associate's degree,free/reduced,completed,75,90,88,Passed
male,group B,associate's degree,free/reduced,none,57,56,57,Failed
male,group C,associate's degree,free/reduced,none,55,61,54,Failed
female,group C,associate's degree,standard,none,58,73,68,Failed
female,group B,associate's degree,standard,none,53,58,65,Failed
male,group B,some college,free/reduced,completed,59,65,66,Failed
female,group E,associate's degree,free/reduced,none,50,56,54,Failed
male,group B,associate's degree,standard,none,65,54,57,Failed
female,group A,associate's degree,standard,completed,55,65,62,Failed
female,group C,high school,standard,none,66,71,76,Passed
female,group D,associate's degree,free/reduced,completed,57,74,76,Passed
male,group C,high school,standard,completed,82,84,82,Passed
male,group E,some college,standard,none,53,55,48,Failed
male,group E,associate's degree,free/reduced,completed,77,69,68,Passed
male,group C,some college,standard,none,53,44,42,Failed
male,group D,high school,standard,none,88,78,75,Passed
female,group C,some high school,free/reduced,completed,71,84,87,Passed
female,group C,high school,free/reduced,none,33,41,43,Failed
female,group E,associate's degree,standard,completed,82,85,86,Passed
male,group D,associate's degree,standard,none,52,55,49,Failed
male,group D,some college,standard,completed,58,59,58,Failed
female,group C,some high school,free/reduced,none,0,17,10,Failed
male,group E,bachelor's degree,free/reduced,completed,79,74,72,Passed
male,group A,some high school,free/reduced,none,39,39,34,Failed
male,group A,associate's degree,free/reduced,none,62,61,55,Failed
female,group C,associate's degree,standard,none,69,80,71,Passed
female,group D,some high school,standard,none,59,58,59,Failed
male,group B,some high school,standard,none,67,64,61,Failed
male,group D,some high school,free/reduced,none,45,37,37,Failed
female,group C,some college,standard,none,60,72,74,Passed
male,group B,associate's degree,free/reduced,none,61,58,56,Failed
female,group C,associate's degree,standard,none,39,64,57,Failed
female,group D,some college,free/reduced,completed,58,63,73,Failed
male,group D,some college,standard,completed,63,55,63,Failed
female,group A,associate's degree,free/reduced,none,41,51,48,Failed
male,group C,some high school,free/reduced,none,61,57,56,Failed
male,group C,some high school,standard,none,49,49,41,Failed
male,group B,associate's degree,free/reduced,none,44,41,38,Failed
male,group E,some high school,standard,none,30,26,22,Failed
male,group A,bachelor's degree,standard,completed,80,78,81,Passed
female,group D,some high school,standard,completed,61,74,72,Passed
female,group E,master's degree,standard,none,62,68,68,Failed
female,group B,associate's degree,standard,none,47,49,50,Failed
male,group B,high school,free/reduced,none,49,45,45,Failed
male,group A,some college,free/reduced,completed,50,47,54,Failed
male,group E,associate's degree,standard,none,72,64,63,Failed
male,group D,high school,free/reduced,none,42,39,34,Failed
